id,visit,count_exonic,count_intronic,count_intergenic,count_overlapping exon,percent_exonic,percent_intronic,percent_intergenic,percent_overlapping exon
28199040,visit1,26031017,30762653,2530390,2489765,43.88,51.86,4.27,4.2
29577260,visit1,19078641,21972714,1725565,1759593,44.6,51.37,4.03,4.11
29739984,visit1,22091542,26949086,2227514,2192718,43.09,52.56,4.34,4.28
30280036,visit1,26305095,24423167,1920897,1999431,49.96,46.39,3.65,3.8
30478838,visit1,23578063,28166198,2249846,2093767,43.67,52.17,4.17,3.88
30490009,visit2,18533404,28915698,2395358,1978085,37.18,58.01,4.81,3.97
30794893,visit2,21833685,24037697,1934939,1901660,45.67,50.28,4.05,3.98
31810989,visit1,22949579,30146042,2319951,2201107,41.41,54.4,4.19,3.97
31924111,visit2,20088614,19278489,2016590,1619989,48.54,46.58,4.87,3.91
32193849,visit1,23244018,23348632,1792608,1896477,48.04,48.26,3.7,3.92
32229841,visit1,26861514,25659298,2149945,2183161,49.13,46.93,3.93,3.99
32386013,visit2,23576998,29774871,2390328,2156507,42.3,53.42,4.29,3.87
33792565,visit1,21776875,18789417,1525296,1616112,51.74,44.64,3.62,3.84
34203885,visit1,21179656,33055321,3887679,2221762,36.44,56.87,6.69,3.82
34628016,visit1,23859173,30211321,2324665,2209394,42.31,53.57,4.12,3.92
35520338,visit2,22339556,26425789,2168521,2015139,43.86,51.88,4.26,3.96
35790187,visit2,23175916,26001620,2205597,1987455,45.1,50.6,4.29,3.87
36772715,visit2,23156967,38086197,3172277,2643920,35.95,59.13,4.92,4.1
37348838,visit2,18829105,32387978,3249242,2136274,34.57,59.46,5.97,3.92
37937463,visit2,22609232,23912390,1864688,1866595,46.73,49.42,3.85,3.86
38695681,visit1,25016505,33042495,2808005,2439164,41.1,54.29,4.61,4.01
38990719,visit1,21713029,27964633,2515415,2224029,41.6,53.58,4.82,4.26
39910401,visit2,22765451,25099298,2083732,2006148,45.58,50.25,4.17,4.02
40947962,visit1,22329819,27649950,2467268,2239750,42.58,52.72,4.7,4.27
41142729,visit2,25632413,34437628,2727479,2448946,40.82,54.84,4.34,3.9
41451336,visit2,17122903,23611337,2407848,1603868,39.69,54.73,5.58,3.72
45213600,visit1,22928305,27911186,2748547,2139222,42.79,52.08,5.13,3.99
45952829,visit2,25134590,27776644,2278740,2207744,45.54,50.33,4.13,4
46041174,visit1,20592293,31922268,2452766,2279803,37.46,58.07,4.46,4.15
46504172,visit1,18986556,16944451,1666682,1641480,50.5,45.07,4.43,4.37
48472991,visit2,20493915,23119205,1934043,1791576,44.99,50.76,4.25,3.93
48607121,visit2,22176193,29579148,2380698,2186961,40.96,54.64,4.4,4.04
49307343,visit2,23177409,29863265,2361940,2194378,41.83,53.9,4.26,3.96
49497245,visit2,17603208,22246440,1836749,1583663,42.23,53.37,4.41,3.8
49594089,visit1,18838320,16318912,1504176,1463550,51.38,44.51,4.1,3.99
pool_a_plate32,control,13855119,25477190,8940325,1305343,28.7,52.78,18.52,2.7
pool_b_plate32,control,18548937,25711988,2024546,1888697,40.08,55.55,4.37,4.08
16133259,visit2,15953439,22003388,1742333,1502393,40.19,55.43,4.39,3.78
20880449,visit1,16685499,28044412,2724538,1719464,35.16,59.1,5.74,3.62
20880449,visit2,29560325,29132485,2377695,2236259,48.4,47.7,3.89,3.66
20931226,visit1,19548153,28072853,2448305,1827109,39.04,56.07,4.89,3.65
20931226,visit2,19501738,22904299,2413937,1656403,43.51,51.1,5.39,3.7
21079124,visit1,24672508,24836344,1919267,1868334,47.97,48.29,3.73,3.63
21079124,visit2,17828574,15185344,1328297,1347962,51.91,44.22,3.87,3.93
21183769,visit1,20392629,31201602,2606730,2008799,37.62,57.57,4.81,3.71
21183769,visit2,21005224,32350779,2703243,2053010,37.47,57.71,4.82,3.66
21445292,visit1,19500902,27870884,2232177,1828201,39.31,56.19,4.5,3.69
21445292,visit2,20674447,30009855,3012010,1949404,38.5,55.89,5.61,3.63
22424048,visit1,22004823,31962736,2678850,2099032,38.85,56.42,4.73,3.71
22424048,visit2,19297547,29768148,2559281,1966320,37.38,57.66,4.96,3.81
22749980,visit1,17930893,23914594,2129775,1594169,40.77,54.38,4.84,3.63
22749980,visit2,21101260,23868853,2078156,1709965,44.85,50.73,4.42,3.63
23939242,visit1,29443619,42502685,3466714,2801011,39.04,56.36,4.6,3.71
23939242,visit2,10492903,22126579,6215137,1139705,27.02,56.98,16,2.93
24063265,visit1,36744574,40755250,3208036,2896178,45.53,50.5,3.97,3.59
24063265,visit2,21966517,25211262,1941063,1760541,44.72,51.33,3.95,3.58
26388455,visit1,18568965,26220316,2352032,1747203,39.39,55.62,4.99,3.71
26388455,visit2,17832153,25836164,2278461,1698572,38.81,56.23,4.96,3.7
27725424,visit1,21385397,32664258,2584168,2180844,37.76,57.68,4.56,3.85
27725424,visit2,18172921,24545771,1932962,1689977,40.7,54.97,4.33,3.78
27990795,visit1,22455722,35938419,3186811,2303880,36.47,58.36,5.17,3.74
